id,model_output
13913,1458.6213698630136
15400,1209.6000000000004
92644,2606.8536986301365
17402,10140.75616438356
93015,372.8219178082192
93734,2151.9833424657536
24328,0
93783,3114.6923835616435
25123,0
94138,0
31036,2138.060712328767
94662,0
96052,1244.1205479452055
33332,1310.3999999999999
97506,537.6920547945206
34935,634.3969315068492
98541,1650.3583561643838
36299,9037.479452054795
100479,0
36660,12154.799342465752
38610,777.836712328767
102565,15978.08219178082
38950,48.279452054794525
38995,859.3742465753425
103682,0
39387,0
103865,1179.3600000000001
106332,0
41311,0
41445,1350.7397260273972
107051,42198.624
41509,0
111840,0
41712,4677.3133150684935
41870,0
116268,662.794520547945
42010,9548.738630136986
117203,286.25621917808206
42692,0
43129,7762.152328767123
43202,0
44384,30.959999999999997
127652,5337.4882191780825
127860,0
45163,47.04657534246575
131444,148.33972602739723
45168,0
137581,0
46961,
137907,3750.3123287671237
46992,0
142117,8738.235616438355
47192,7991.917150684932
47687,1089.9655890410959
145612,209.88493150684934
49970,2061.705205479452
51830,18.856109589041097
152863,0
55402,158.89315068493153
154221,0
55706,2609.753424657534
56229,1510.2246575342463
157714,1021.0941369863014
63948,1409.5331506849318
65908,0
159736,1900.2082191780823
66772,2503.4991780821915
67851,2513.2931506849313
165336,0
168348,3430.5534246575344
69198,379.50904109589044
168359,0
70482,1799.4871232876715
170524,
170702,0
71875,5464.504109589041
172807,0
72913,0
172811,0
73125,264.6443835616438
73431,87.58356164383561
174132,6675.287671232878
73884,1106.0383561643837
78606,0
178519,1470.5753424657537
179312,0
78892,50.3408219178082
181664,3728.2191780821927
79129,1653.2876712328766
182802,8566.926904109589
79571,0
183128,1509.9090410958906
80123,1230.5293150684931
186682,0
80441,0
190015,0
81052,0
198279,4573.282191780822
200713,379.14213698630135
201463,174.30904109589042
203163,1390.7322739726028
207542,296.186301369863
207912,1505.1353424657536
208952,0
81080,3034.849315068493
210010,0
214755,4458.180821917808
216350,12435.35079452055
219665,253.518904109589
228195,917.3095890410958
229684,0
81410,30933.28306849315
230839,0
81449,73801.72799999999
231452,253.51890410958904
81635,3572.876712328767
231692,66.83178082191783
232240,2979.8136986301365
81951,0
232983,5939.053150684931
84223,11289.18575342466
236956,15322.649424657537
84532,429.8932602739726
238349,22.250958904109588
85191,16492.191780821922
238440,0
86092,1920.4471232876713
238711,852.7561643835617
239697,0
87827,0
240734,0
89787,0
241621,541.5031232876713
89870,9311.316164383561
90700,19825.04810958904
241975,1612.4843835616439
90962,362.3592328767123
91287,305.7139726027398
243077,75.45205479452055
92352,421.60438356164394
243093,1056.8968767123288
92399,11238.588493150684
276082,0
244125,106719.19693150686
244126,10384.991999999998
276888,1165.2164383561644
245116,801.9813698630136
277580,1110.6443835616437
245885,404.9674520547946
278559,0
246271,2912.1534246575347
280234,16569.874849315063
248291,397.67671232876717
282198,221.3260273972603
249395,0
282299,0
284532,732.8613698630137
252016,321.573698630137
254996,8328.013150684932
284603,0
286675,3463.2493150684936
263672,3834.739726027397
263822,2146.696767123288
289422,46.71123287671232
264776,7996.118794520548
264777,926.4328767123286
264778,4891.423561643836
264779,3153.24493150685
264780,3095.3095890410955
264781,1016.4723287671233
264782,1321.8016438356165
264783,3791.4923835616437
264789,4746.492493150685
289802,152.91616438356164
268398,12484.306849315071
290233,0
269065,192.62465753424658
290923,0
270600,865.6333150684928
291731,26.03835616438356
294177,3286.5139726027396
271122,0
273941,701.4575342465754
294247,14318.902356164384
274740,513.4428493150684
274918,1684.8
294887,1552.8032876712325
296720,0
298246,
275140,5652.532602739725
300333,
363605,14.841863013698628
300723,6505.902246575342
301631,0
363648,0
363749,0
302760,0
364792,10.09972602739726
305573,307.5780821917808
365069,3549.027945205479
365933,734.054794520548
306333,126.24657534246577
306405,59.04
367181,0
306677,0
367207,4642.254246575343
306737,3939.4652054794524
367819,0
307923,1531.0553424657535
369383,303.7808219178083
308005,5952.131506849314
310665,0
372691,0
310724,9595.726027397259
374493,195.6821917808219
310790,0
374594,0
310949,3837.296219178082
311430,164.19353424657538
375006,4044.372164383561
311768,27547.397260273967
312761,8003.717260273974
375657,3446.531506849316
313710,0
375799,2206.218082191781
377707,3094.2246575342465
314164,254.48547945205485
377982,3133.44
314985,0
315238,0
315658,0
379053,610.7178082191781
379060,4925.036712328767
379137,792.8679452054796
316137,1625.4246575342465
318287,762.1545205479453
380188,16011.233753424656
380714,703.6865753424657
381005,195.28767123287673
318986,0
381006,2678.4
320629,172.01095890410957
381467,0
321411,17.966465753424654
381916,718.1023561643835
322606,5436.019726027396
382634,195.8794520547945
323473,504.986301369863
383382,1202.498630136986
383416,148.2213698630137
324055,0
325809,4006.8000000000006
384315,48.28931506849315
384770,2827.232876712329
326146,0
326633,4108.773698630137
326655,3107.346410958904
384780,3151.422246575343
385019,0
387835,2804.1573698630136
329585,3897.4684931506845
387935,1018.7033424657534
329610,0
387939,0
387951,
330044,0
388030,1262.66301369863
331058,3365.8126027397266
388032,3789.3698630136983
334310,3023.053150684931
388306,653.76
388315,244.83945205479444
388387,
388411,191.81589041095887
334603,6794.953643835617
388644,35.00975342465753
335867,0
388674,610.4515068493151
338198,3088.86904109589
388700,12.143342465753427
338354,1540.2082191780823
388995,
338896,213.27780821917804
389079,73.1362191780822
389108,1723.2657534246578
340435,4273.604383561643
389125,4663.970630136985
340912,4375.331506849315
389544,426.08219178082203
389568,0
340933,0
389570,0
389747,0
389786,90.24065753424658
341143,0
389862,180.532602739726
389967,929.5693150684931
341779,902.2290410958906
390316,11128.201643835615
342003,8136.986301369863
390319,6720.736438356165
342636,0
390320,6906.192657534246
342804,5548.142465753424
390356,16553.29315068493
390618,85.54783561643836
390750,128.02191780821917
343754,1267.8312328767124
390876,0
390987,217.55835616438358
390988,453.5881643835616
391035,2145.276493150685
344094,4631.276712328767
391273,1609.0224657534245
344102,5150.047561643836
345013,0
391529,138.08219178082194
391672,1258.1063013698629
391808,0
345321,0
392141,2.17972602739726
345877,819.3402739726027
392246,428.76493150684934
392785,13317.518465753426
393177,0
346523,1912.635616438356
394755,0
347389,1146.161095890411
395062,1613.7863013698632
347436,
395719,0
348215,580.3712876712327
396235,855.0049315068494
396523,4027.636602739726
348217,11366.926027397263
397262,519.7808219178082
348549,0
397504,3544.4712328767123
349339,286.65863013698635
397507,999.4783561643835
349930,4492.799999999999
398147,20.120547945205477
350530,39.925479452054795
400742,0
350588,0
400873,0
351727,42.92383561643835
401177,0
353133,3072.0526027397264
401323,0
354003,945.4625753424658
401330,0
401951,0
401972,1286.608438356164
356040,0
402739,3962.958904109589
356073,326.9786301369862
356978,0
403038,1011.6493150684934
357197,0
406409,0
406777,5063.939506849316
358043,0
406898,0
358360,4260.82191780822
407303,173.84153424657535
359974,3337.6438356164385
407475,0
